id_station;ligne;type
1770;4 (Mairie de Montrouge/Porte de Clignancourt);metro
1694;4 (Mairie de Montrouge/Porte de Clignancourt);metro
1964;4 (Mairie de Montrouge/Porte de Clignancourt);metro
1914;4 (Mairie de Montrouge/Porte de Clignancourt);metro
466736;4 (Mairie de Montrouge/Porte de Clignancourt);metro
1753;4 (Mairie de Montrouge/Porte de Clignancourt);metro
1697;4 (Mairie de Montrouge/Porte de Clignancourt);metro
1660;4 (Mairie de Montrouge/Porte de Clignancourt);metro
1698;4 (Mairie de Montrouge/Porte de Clignancourt);metro
1646;4 (Mairie de Montrouge/Porte de Clignancourt);metro
1720;4 (Mairie de Montrouge/Porte de Clignancourt);metro
1801;4 (Mairie de Montrouge/Porte de Clignancourt);metro
1621;4 (Mairie de Montrouge/Porte de Clignancourt);metro
1999;4 (Mairie de Montrouge/Porte de Clignancourt);metro
1981;4 (Mairie de Montrouge/Porte de Clignancourt);metro
1687;4 (Mairie de Montrouge/Porte de Clignancourt);metro
1841;4 (Mairie de Montrouge/Porte de Clignancourt);metro
1902;4 (Mairie de Montrouge/Porte de Clignancourt);metro
1961;4 (Mairie de Montrouge/Porte de Clignancourt);metro
1751;4 (Mairie de Montrouge/Porte de Clignancourt);metro
1960;4 (Mairie de Montrouge/Porte de Clignancourt);metro
1842;4 (Mairie de Montrouge/Porte de Clignancourt);metro
2011;5 (Place d'Italie/Bobigny - Pablo Picasso);metro
1861;5 (Place d'Italie/Bobigny - Pablo Picasso);metro
1933;5 (Place d'Italie/Bobigny - Pablo Picasso);metro
1664;5 (Place d'Italie/Bobigny - Pablo Picasso);metro
1842;5 (Place d'Italie/Bobigny - Pablo Picasso);metro
1769;5 (Place d'Italie/Bobigny - Pablo Picasso);metro
1853;5 (Place d'Italie/Bobigny - Pablo Picasso);metro
1941;5 (Place d'Italie/Bobigny - Pablo Picasso);metro
1838;5 (Place d'Italie/Bobigny - Pablo Picasso);metro
1728;5 (Place d'Italie/Bobigny - Pablo Picasso);metro
1912;5 (Place d'Italie/Bobigny - Pablo Picasso);metro
1773;5 (Place d'Italie/Bobigny - Pablo Picasso);metro
1841;5 (Place d'Italie/Bobigny - Pablo Picasso);metro
1679;5 (Place d'Italie/Bobigny - Pablo Picasso);metro
1789;5 (Place d'Italie/Bobigny - Pablo Picasso);metro
1627;5 (Place d'Italie/Bobigny - Pablo Picasso);metro
1859;5 (Place d'Italie/Bobigny - Pablo Picasso);metro
1743;5 (Place d'Italie/Bobigny - Pablo Picasso);metro
1691;5 (Place d'Italie/Bobigny - Pablo Picasso);metro
1882;5 (Place d'Italie/Bobigny - Pablo Picasso);metro
2010;5 (Place d'Italie/Bobigny - Pablo Picasso);metro
2000;5 (Place d'Italie/Bobigny - Pablo Picasso);metro
1890;6 (Charles de Gaulle - Etoile/Nation);metro
1953;6 (Charles de Gaulle - Etoile/Nation);metro
1751;6 (Charles de Gaulle - Etoile/Nation);metro
1907;6 (Charles de Gaulle - Etoile/Nation);metro
1781;6 (Charles de Gaulle - Etoile/Nation);metro
1910;6 (Charles de Gaulle - Etoile/Nation);metro
1785;6 (Charles de Gaulle - Etoile/Nation);metro
1789;6 (Charles de Gaulle - Etoile/Nation);metro
1660;6 (Charles de Gaulle - Etoile/Nation);metro
1780;6 (Charles de Gaulle - Etoile/Nation);metro
1874;6 (Charles de Gaulle - Etoile/Nation);metro
1906;6 (Charles de Gaulle - Etoile/Nation);metro
2003;6 (Charles de Gaulle - Etoile/Nation);metro
1633;6 (Charles de Gaulle - Etoile/Nation);metro
2005;6 (Charles de Gaulle - Etoile/Nation);metro
1688;6 (Charles de Gaulle - Etoile/Nation);metro
1940;6 (Charles de Gaulle - Etoile/Nation);metro
1758;6 (Charles de Gaulle - Etoile/Nation);metro
1902;6 (Charles de Gaulle - Etoile/Nation);metro
1761;6 (Charles de Gaulle - Etoile/Nation);metro
2007;6 (Charles de Gaulle - Etoile/Nation);metro
1639;6 (Charles de Gaulle - Etoile/Nation);metro
1959;6 (Charles de Gaulle - Etoile/Nation);metro
1901;6 (Charles de Gaulle - Etoile/Nation);metro
1742;6 (Charles de Gaulle - Etoile/Nation);metro
2012;6 (Charles de Gaulle - Etoile/Nation);metro
1867;6 (Charles de Gaulle - Etoile/Nation);metro
1848;6 (Charles de Gaulle - Etoile/Nation);metro
1719;7 (Villejuif - Louis Aragon / Mairie d'Ivry/La Courneuve - 8 mai 1945);metro
1866;7 (Villejuif - Louis Aragon / Mairie d'Ivry/La Courneuve - 8 mai 1945);metro
1815;7 (Villejuif - Louis Aragon / Mairie d'Ivry/La Courneuve - 8 mai 1945);metro
1649;7 (Villejuif - Louis Aragon / Mairie d'Ivry/La Courneuve - 8 mai 1945);metro
1735;7 (Villejuif - Louis Aragon / Mairie d'Ivry/La Courneuve - 8 mai 1945);metro
1636;7 (Villejuif - Louis Aragon / Mairie d'Ivry/La Courneuve - 8 mai 1945);metro
